Origin,Destination,Via_Hub,Fare_Udeung,Remarks
광주광역시동부교육지원청,전라남도목포교육지원청,직통,9300,전남 관내
전라남도목포교육지원청,광주광역시동부교육지원청,직통,9300,전남 관내
광주광역시동부교육지원청,전라남도여수교육지원청,직통,16800,전남 관내
전라남도여수교육지원청,광주광역시동부교육지원청,직통,16800,전남 관내
광주광역시동부교육지원청,전라남도순천교육지원청,직통,11000,전남 관내
전라남도순천교육지원청,광주광역시동부교육지원청,직통,11000,전남 관내
광주광역시동부교육지원청,전라남도나주교육지원청,직통,4300,전남 관내
전라남도나주교육지원청,광주광역시동부교육지원청,직통,4300,전남 관내
광주광역시동부교육지원청,전라남도광양교육지원청,직통,10900,전남 관내
전라남도광양교육지원청,광주광역시동부교육지원청,직통,10900,전남 관내
광주광역시동부교육지원청,전라남도담양교육지원청,직통,2900,전남 관내
전라남도담양교육지원청,광주광역시동부교육지원청,직통,2900,전남 관내
광주광역시동부교육지원청,전라남도곡성교육지원청,직통,5500,전남 관내
전라남도곡성교육지원청,광주광역시동부교육지원청,직통,5500,전남 관내
광주광역시동부교육지원청,전라남도구례교육지원청,직통,9800,전남 관내
전라남도구례교육지원청,광주광역시동부교육지원청,직통,9800,전남 관내
광주광역시동부교육지원청,전라남도고흥교육지원청,직통,21000,전남 관내
전라남도고흥교육지원청,광주광역시동부교육지원청,직통,21000,전남 관내
광주광역시동부교육지원청,전라남도보성교육지원청,직통,11500,전남 관내
전라남도보성교육지원청,광주광역시동부교육지원청,직통,11500,전남 관내
광주광역시동부교육지원청,전라남도화순교육지원청,직통,2500,전남 관내
전라남도화순교육지원청,광주광역시동부교육지원청,직통,2500,전남 관내
광주광역시동부교육지원청,전라남도장흥교육지원청,직통,14900,전남 관내
전라남도장흥교육지원청,광주광역시동부교육지원청,직통,14900,전남 관내
광주광역시동부교육지원청,전라남도강진교육지원청,직통,15200,전남 관내
전라남도강진교육지원청,광주광역시동부교육지원청,직통,15200,전남 관내
광주광역시동부교육지원청,전라남도해남교육지원청,직통,16900,전남 관내
전라남도해남교육지원청,광주광역시동부교육지원청,직통,16900,전남 관내
광주광역시동부교육지원청,전라남도영암교육지원청,직통,8700,전남 관내
전라남도영암교육지원청,광주광역시동부교육지원청,직통,8700,전남 관내
광주광역시동부교육지원청,전라남도무안교육지원청,직통,7800,전남 관내
전라남도무안교육지원청,광주광역시동부교육지원청,직통,7800,전남 관내
광주광역시동부교육지원청,전라남도함평교육지원청,직통,5800,전남 관내
전라남도함평교육지원청,광주광역시동부교육지원청,직통,5800,전남 관내
광주광역시동부교육지원청,전라남도영광교육지원청,직통,9500,전남 관내
전라남도영광교육지원청,광주광역시동부교육지원청,직통,9500,전남 관내
광주광역시동부교육지원청,전라남도장성교육지원청,직통,2400,전남 관내
전라남도장성교육지원청,광주광역시동부교육지원청,직통,2400,전남 관내
광주광역시동부교육지원청,전라남도완도교육지원청,직통,24800,전남 관내
전라남도완도교육지원청,광주광역시동부교육지원청,직통,24800,전남 관내
광주광역시동부교육지원청,전라남도진도교육지원청,직통,19900,전남 관내
전라남도진도교육지원청,광주광역시동부교육지원청,직통,19900,전남 관내
광주광역시동부교육지원청,남악,직통,9300,전남 관내
남악,광주광역시동부교육지원청,직통,9300,전남 관내
전라남도목포교육지원청,전라남도여수교육지원청,직통,21400,전남 관내
전라남도여수교육지원청,전라남도목포교육지원청,직통,21400,전남 관내
전라남도목포교육지원청,전라남도순천교육지원청,직통,15000,전남 관내
전라남도순천교육지원청,전라남도목포교육지원청,직통,15000,전남 관내
전라남도목포교육지원청,전라남도나주교육지원청,직통,7300,전남 관내
전라남도나주교육지원청,전라남도목포교육지원청,직통,7300,전남 관내
전라남도목포교육지원청,전라남도광양교육지원청,직통,17800,전남 관내
전라남도광양교육지원청,전라남도목포교육지원청,직통,17800,전남 관내
전라남도목포교육지원청,전라남도담양교육지원청,직통,10100,전남 관내
전라남도담양교육지원청,전라남도목포교육지원청,직통,10100,전남 관내
전라남도목포교육지원청,전라남도곡성교육지원청,직통,12700,전남 관내
전라남도곡성교육지원청,전라남도목포교육지원청,직통,12700,전남 관내
전라남도목포교육지원청,전라남도구례교육지원청,직통,17000,전남 관내
전라남도구례교육지원청,전라남도목포교육지원청,직통,17000,전남 관내
전라남도목포교육지원청,전라남도고흥교육지원청,직통,18600,전남 관내
전라남도고흥교육지원청,전라남도목포교육지원청,직통,18600,전남 관내
전라남도목포교육지원청,전라남도보성교육지원청,직통,13500,전남 관내
전라남도보성교육지원청,전라남도목포교육지원청,직통,13500,전남 관내
전라남도목포교육지원청,전라남도화순교육지원청,직통,9700,전남 관내
전라남도화순교육지원청,전라남도목포교육지원청,직통,9700,전남 관내
전라남도목포교육지원청,전라남도장흥교육지원청,직통,10200,전남 관내
전라남도장흥교육지원청,전라남도목포교육지원청,직통,10200,전남 관내
전라남도목포교육지원청,전라남도강진교육지원청,직통,7800,전남 관내
전라남도강진교육지원청,전라남도목포교육지원청,직통,7800,전남 관내
전라남도목포교육지원청,전라남도해남교육지원청,직통,8700,전남 관내
전라남도해남교육지원청,전라남도목포교육지원청,직통,8700,전남 관내
전라남도목포교육지원청,전라남도영암교육지원청,직통,6400,전남 관내
전라남도영암교육지원청,전라남도목포교육지원청,직통,6400,전남 관내
전라남도목포교육지원청,전라남도무안교육지원청,직통,3200,전남 관내
전라남도무안교육지원청,전라남도목포교육지원청,직통,3200,전남 관내
전라남도목포교육지원청,전라남도함평교육지원청,직통,5100,전남 관내
전라남도함평교육지원청,전라남도목포교육지원청,직통,5100,전남 관내
전라남도목포교육지원청,전라남도영광교육지원청,직통,8700,전남 관내
전라남도영광교육지원청,전라남도목포교육지원청,직통,8700,전남 관내
전라남도목포교육지원청,전라남도장성교육지원청,직통,9600,전남 관내
전라남도장성교육지원청,전라남도목포교육지원청,직통,9600,전남 관내
전라남도목포교육지원청,전라남도완도교육지원청,직통,15700,전남 관내
전라남도완도교육지원청,전라남도목포교육지원청,직통,15700,전남 관내
전라남도목포교육지원청,전라남도진도교육지원청,직통,10800,전남 관내
전라남도진도교육지원청,전라남도목포교육지원청,직통,10800,전남 관내
전라남도목포교육지원청,남악,직통,1700,전남 관내
남악,전라남도목포교육지원청,직통,1700,전남 관내
전라남도여수교육지원청,전라남도순천교육지원청,직통,5000,전남 관내
전라남도순천교육지원청,전라남도여수교육지원청,직통,5000,전남 관내
전라남도여수교육지원청,전라남도나주교육지원청,직통,17300,전남 관내
전라남도나주교육지원청,전라남도여수교육지원청,직통,17300,전남 관내
전라남도여수교육지원청,전라남도광양교육지원청,직통,7500,전남 관내
전라남도광양교육지원청,전라남도여수교육지원청,직통,7500,전남 관내
전라남도여수교육지원청,전라남도담양교육지원청,직통,15900,전남 관내
전라남도담양교육지원청,전라남도여수교육지원청,직통,15900,전남 관내
